id,en
TR_MENU_REGISTERING_SERVER,Registering server...
TR_MENU_REQUESTING_SERVER_INFO,Requesting server info...
TR_MENU_REQUESTING_SERVER_STATE,Requesting server state...
TR_MENU_RESTART_REQUIRED,Some changes may require the application to be restarted...
TR_MENU_SELECT_AVATAR,Select Avatar...
TR_MENU_SELECT_MAP,Select Map...
TR_MENU_SERVER_STATE_READY,Complete!
TR_MENU_SESSION_CANT_CONNECT,Can't Connect
TR_MENU_SESSION_CANT_RESOLVE,Can't Resolve
TR_MENU_SESSION_CONNECTION_ERROR,Connection Error
TR_MENU_SESSION_DISCONNECTED,Disconnected
TR_MENU_SESSION_PENDING,Pending...
TR_MENU_SESSION_SIGNED_IN_AS,Signed in as {display_name}
TR_MENU_SESSION_SSL_HANDSHAKE_ERROR,SSL Handshake Error
TR_MENU_SHARD_SERVER_BROWSER,Server Browser
TR_MENU_SIGN_IN,Sign in
TR_MENU_SIGN_OUT,Sign out
TR_MENU_START,Start
TR_MENU_STATUS_CODE_NO_PASSWORD,No password
TR_MENU_STATUS_CODE_NO_USERNAME,No username
TR_MENU_STATUS_CODE_PENDING,Pending...
TR_MENU_UNMUTE,Unmute
TR_MENU_VR_ENABLED,VR Enabled
TR_MENU_VR_MOVEMENT_ORIENTATION,Movement Orientation
TR_MENU_VR_MOVEMENT_TYPE,Movement Type
TR_MENU_VR_PLAYER_HEIGHT,Player Height (metric)
TR_MENU_VR_TURNING_MODE,Turning Mode
